k,copies,policy,episodes,selection_end,fill_rate_median,fill_rate_p10,offer_coverage_median,cashout_median,cashout_p10,cashout_es10,realized_median,net_payouts_median,ruin_rate,zero_seat_episode_rate,large_shock_episode_rate,worst_death_cluster,replacements_median,first_payout_days_median,initial_capital,cashout_roi_median,test_fill_rate,test_cashout,test_realized,test_net_payouts,test_ruined,test_worst_death_cluster,test_replacements
10,1,protect_frozen,5,2023-01-01,1.00000000,1.00000000,1.00000000,-2400.00000000,-2790.84600000,-2800.00000000,-2600.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,3.00000000,558.66666667,3000.00000000,-0.80000000,1.00000000,4848.71500000,3160.00000000,5760.00000000,False,1,3
10,1,round_robin,5,2023-01-01,1.00000000,1.00000000,1.00000000,-908.27000000,-1982.41200000,-2600.00000000,-1500.00000000,1080.00000000,0.00000000,0.00000000,0.00000000,1,3.00000000,505.18750000,3000.00000000,-0.30275667,1.00000000,8012.80500000,4020.00000000,7020.00000000,False,1,5
10,1,stable_hash,5,2023-01-01,1.00000000,1.00000000,1.00000000,-339.11500000,-1029.60600000,-1365.00000000,-1140.00000000,1260.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,463.72916667,3000.00000000,-0.11303833,1.00000000,12613.51500000,6720.00000000,9720.00000000,False,1,5
10,2,least_trades,5,2023-01-01,1.00000000,1.00000000,1.00000000,-639.19000000,-1645.90800000,-1834.61000000,-1400.00000000,1800.00000000,0.00000000,0.00000000,0.00000000,2,5.00000000,479.95833333,3000.00000000,-0.21306333,1.00000000,26753.24000000,18380.00000000,21780.00000000,False,2,7
10,2,max_headroom,5,2023-01-01,1.00000000,1.00000000,1.00000000,3040.00000000,808.00000000,-200.00000000,2320.00000000,4320.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,416.12500000,3000.00000000,1.01333333,1.00000000,36082.96000000,18880.00000000,20880.00000000,False,0,0
10,2,protect_frozen,5,2023-01-01,1.00000000,0.99992155,1.00000000,-2430.01000000,-2903.28400000,-3000.00000000,-2800.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2,5.00000000,601.38541667,3000.00000000,-0.81000333,1.00000000,22992.06500000,14660.00000000,17460.00000000,False,2,4
10,2,round_robin,5,2023-01-01,1.00000000,1.00000000,1.00000000,-1612.37000000,-2120.00000000,-2440.00000000,-1640.00000000,360.00000000,0.00000000,0.00000000,0.00000000,2,0.00000000,573.77083333,3000.00000000,-0.53745667,1.00000000,23008.57000000,16000.00000000,18000.00000000,False,0,0
10,2,stable_hash,5,2023-01-01,1.00000000,1.00000000,1.00000000,-80.49500000,-1603.59100000,-2245.98500000,-640.00000000,2160.00000000,0.00000000,0.00000000,0.00000000,1,3.00000000,425.87500000,3000.00000000,-0.02683167,1.00000000,28049.23500000,17520.00000000,20520.00000000,False,1,5
10,3,least_trades,5,2023-01-01,0.99637118,0.99592171,1.00000000,7121.77000000,1657.64600000,630.76000000,3400.00000000,6480.00000000,0.00000000,0.00000000,0.00000000,2,9.00000000,216.70833333,3000.00000000,2.37392333,0.99658588,45265.21000000,29320.00000000,31320.00000000,False,0,0
10,3,max_headroom,5,2023-01-01,0.99637118,0.99592171,1.00000000,5763.35500000,1852.00000000,340.00000000,4120.00000000,6120.00000000,0.00000000,0.00000000,0.00000000,1,0.00000000,142.97916667,3000.00000000,1.92111833,0.99658588,56369.63500000,30400.00000000,32400.00000000,False,0,0
10,3,protect_frozen,5,2023-01-01,0.99628478,0.99592171,0.99974147,5333.22000000,387.08900000,-218.58500000,1980.00000000,5580.00000000,0.00000000,0.00000000,0.00000000,3,9.00000000,306.47916667,3000.00000000,1.77774000,0.99658588,48126.63000000,30720.00000000,33120.00000000,False,1,2
10,3,round_robin,5,2023-01-01,0.99637118,0.99592171,1.00000000,6759.94000000,615.87100000,-1160.21500000,2760.00000000,6120.00000000,0.00000000,0.00000000,0.00000000,1,6.00000000,329.41666667,3000.00000000,2.25331333,0.99658588,45739.98500000,28580.00000000,30780.00000000,False,1,1
10,3,stable_hash,5,2023-01-01,0.99637118,0.99592171,1.00000000,6029.95000000,903.76800000,26.28000000,2220.00000000,5220.00000000,0.00000000,0.00000000,0.00000000,1,6.00000000,349.66666667,3000.00000000,2.00998333,0.99658588,47825.31500000,28340.00000000,31140.00000000,False,1,4
